CT_TYPE,CC_CODE,CC_DESC_AR,CC_DESC_EN,COMMODTIY_TYPE,COMMODTIY_CODE,COMM_NAME_AR,COMM_NAME_EN,2023,2024,Growth,Share
ISI4,99.0,أنشطة المنظمات والهيئات غير الخاضعة للتشريعات الوطنية,Activities of extraterritorial organizations and bodies,H,39152000.0,نفايات  لدائن من بوليمرات ستيرين,PLASTIC WASTE OF POLYMERS OF STYRENE,778319.0,200813.0,-0.7419913942740701,2.3002014600032065e-07
ISI4,13.0,صُنع المنسوجات,Manufacture of textiles,H,52121100.0,نسج اخرمن قطن غيرمقصوره،لايزيدالمترالمربع اكثرمن 200غرام,"UNBLEACHED OTHER COTTON WOVENS, UNDER 201 G/M2",775405.0,796031.0,0.026600292750240197,9.118093292803815e-07
ISI4,32.0,الصناعات التحويلية الأخرى,Other manufacturing,H,64021200.0,احذيه تزلج واحذية الواح تزلج (سيرف ),SKIING SHOES AND SHOES FOR SKIING SHEETS (SERVE),774912.0,404226.0,-0.4783588330029732,4.6301844769574487e-07
ISI4,20.0,صُنع المواد الكيميائية والمنتجات الكيميائية,Manufacture of chemicals and chemical products,H,28432990.0,غيرها من مركبات الفضة,OTHER SILVER,773252.0,527737.0,-0.3175096863635658,6.044934431026438e-07
ISI4,13.0,صُنع المنسوجات,Manufacture of textiles,H,52081300.0,نسج قطنيه غير مقصوره ، تويل مضلع ثلاثى او رباعى الخيط,"UNBLEACHED COTTON WOVEN FABRICS, 3 OR 4 THREAD TWILL",773069.0,157794.0,-0.7958862662970576,1.807442691358358e-07
ISI4,58.0,أنشطة النشر,Publishing activities,H,49019100.0,قواميس، وموسوعات  واجزاء مسلسه منها,DICTIONARIES AND ENCYCLOPEDIAS,772662.0,109601.0,-0.8581514297325351,1.2554186243809487e-07
ISI4,20.0,صُنع المواد الكيميائية والمنتجات الكيميائية,Manufacture of chemicals and chemical products,H,38140010.0,مذيبات تحتوي على ميثان ، ايثان محتوية على هيدرو كلورو فلورو كربون,"Solvents containing methane, ethane containing hydrochlorofluoroc",770727.0,38190.0,-0.9504493809091935,4.374452538307901e-08
ISI4,10.0,صُنع المنتجات الغذائية,Manufacture of food products,H,3035100.0,ســـمك الرنجة (كلوبيا هارجنس، كلوبيا بالاسي)," Herrings (Clupea harengus, Clupea pallasii)",770124.0,125709.0,-0.8367678451781791,1.439926824137596e-07
ISI4,15.0,صُنع المنتجات الجلدية والمنتجات ذات الصلة,Manufacture of leather and related products,H,42050010.0,جلود الشامواه المصنوعه خصيصا كمماسح للسيارات,CHAMOIS LEATHER MADE ESPECIALLY FOR WIPING CARS,766986.0,701570.0,-0.0852896923803042,8.036094965437744e-07
ISI4,1.0,أنشطة زراعة المحاصيل والإنتاج الحيواني والصيد والخدمات المتصلة,"Crop and animal production, hunting and related service activities",H,7143000.0,غيرها من جذور ودرنات,OTHER ROOTS AND TUBERS,763967.0,942321.0,0.23345772788615216,1.079376404909882e-06
ISI4,32.0,الصناعات التحويلية الأخرى,Other manufacturing,H,92021000.0,الات موسيقيه يعزف عليها بقوس،,STRING MUSICAL INSTRUMENTS PLAYED WITH BOW,763127.0,881430.0,0.1550239999371009,1.0096291439750545e-06
ISI4,24.0,صُنع الفلّزات القاعدية,Manufacture of basic metals,H,79031000.0,غبار زنك (رماد الزنك)ـ,ZINC DUST,762218.0,1405899.0,0.8444841239645351,1.610379274457853e-06
ISI4,1.0,أنشطة زراعة المحاصيل والإنتاج الحيواني والصيد والخدمات المتصلة,"Crop and animal production, hunting and related service activities",H,4072100.0,بيض طازج للمائدة، من دجاج من نوع جالوس دوميستيكوس,Fresh eggs of fowls of the species Gallus domesticus,761620.0,541126.0,-0.28950657808355873,6.198297994879292e-07
ISI4,20.0,صُنع المواد الكيميائية والمنتجات الكيميائية,Manufacture of chemicals and chemical products,H,32159060.0,حبر لاشرطه الالات الكاتبه,INK FOR TYPING MACHINES  RIBBONS,760570.0,724310.0,-0.04767477023811089,8.296569044309494e-07
ISI4,24.0,صُنع الفلّزات القاعدية,Manufacture of basic metals,H,72282010.0,ذات مقطع عرضي دائري أقل من 8 مم,Of circular crosssection measuring less than 8mm in diameter ,760012.0,984834.0,0.29581375030920565,1.12807268685832e-06
ISI4,21.0,صُنع المنتجات الصيدلانية الأساسية والمستحضرات الصيدلانية,Manufacture of basic pharmaceutical products and pharmaceutical preparations,H,29398000.0,أشباه قلويات وأملاحها وأثيراتها وأستيراتها؛ غير محددة بمكان آخر,"Alkaloids, their salts, ethers, esters; not elsewhere specified",757365.0,18225.0,-0.9759363054801846,2.0875725978177926e-08
ISI4,13.0,صُنع المنسوجات,Manufacture of textiles,H,52079000.0,غيرها من خيوط غزل من قطن مهياه للبيع بالتجزئه,OTHER RETAIL COTTON YARN,757256.0,1798286.0,1.3747398501959707,2.0598368047403935e-06
ISI4,16.0,صُنع الخشب ومنتجات الخشب والفلين، باستثناء الأثاث؛ صُنع أصناف من القش ومواد الضفر,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",H,44083920.0,موصول النهايات بالتشابك الاصبعي,OTHER EQUAT. WOODS CONN. ENDS BY FINGERS ENTERLACEMENT.,756842.0,2146313.0,1.8358798798163949,2.4584824170864743e-06
ISI4,10.0,صُنع المنتجات الغذائية,Manufacture of food products,H,20098923.0,عصير منجا، غير مركز مضاف إليه سكر أو مواد تحلية أخر,"Mango juice, not concentrated, containing added sugar or other sw",756061.0,840828.0,0.11211661492921868,9.63121806462518e-07
ISI4,20.0,صُنع المواد الكيميائية والمنتجات الكيميائية,Manufacture of chemicals and chemical products,H,33012500.0,زيوت عطريه من اصناف النعنع الاخر,ESSENTIAL OILS OF OTHER MINTS,755531.0,102674.0,-0.8641035245410181,1.1760736839964007e-07
ISI4,24.0,صُنع الفلّزات القاعدية,Manufacture of basic metals,H,72159040.0,ذات مقطع عرضي دائري من 8 مم الى 40 مم,Of circular crosssection measuring 840 mm in diameter,754249.0,15565513.0,19.63710127557345,1.782943122621488e-05
ISI4,31.0,صُنع الأثاث,Manufacture of furniture,H,94015300.0,من أسل هندي (روطان),Of rattan,753461.0,770121.0,0.022111297067797804,8.821308623341762e-07
ISI4,10.0,صُنع المنتجات الغذائية,Manufacture of food products,H,2069011.0,السنه من فصـيلتى الضـان والماعز،مجمده,"TONGUES OF SHEEP AND GOATS, FROZEN",753401.0,796799.0,0.05760279054580496,9.126890306549352e-07
ISI4,30.0,صُنع معدات النقل الأخرى,Manufacture of other transport equipment,H,89039920.0,قوارب من فيبر جلاس بدون محركات,FIBER GLASS BOATS WITHOUT ENGINES,751374.0,388458.0,-0.48300313825072466,4.449570788494398e-07
ISI4,10.0,صُنع المنتجات الغذائية,Manufacture of food products,H,3069200.0,عقارب بحر؛ مجففة أو مملحة أو مدخنة أو مطبوخة أو مسلوقة,"Dried, salted or in brine, smoked or cooked Lobsters",751114.0,192811.0,-0.7432999518049191,2.2085429912639034e-07
ISI4,29.0,صُنع المركبات ذات المحرّكات والمركبات المقطورة ونصف المقطورة,"Manufacture of motor vehicles, trailers and semi-trailers",H,87033100.0,عربات ومركبات، تشعل بالانضغاط، لاتتجاوز سعة اسطواناتها 1500 سم3,"VEHICLES, COMPRESSION-IGNITION, NOT OVER 1500 CC",749331.0,1155628.0,0.542212987318021,1.3237077344696734e-06
ISI4,16.0,صُنع الخشب ومنتجات الخشب والفلين، باستثناء الأثاث؛ صُنع أصناف من القش ومواد الضفر,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",H,45031000.0,سدادات ، من فلين طبيعى,"CORKS OR STOPPERS, NATURAL CORK",749321.0,68610.0,-0.9084371050591136,7.858894701579081e-08
ISI4,1.0,أنشطة زراعة المحاصيل والإنتاج الحيواني والصيد والخدمات المتصلة,"Crop and animal production, hunting and related service activities",H,12119090.0,غيرها من نباتات مستعمله فى صناعه العطور او فى الصيدله,OTHER PLANTS USED IN PERFUMES OR PHARMACY,749295.0,,-1.0,0.0
ISI4,27.0,صُنع المعدات الكهربائية,Manufacture of electrical equipment,H,85018000.0,مولدات ضوئية فولتائية ذات تيار متناوب,Photovoltaic AC generators,748607.0,3170012.0,3.2345476331372804,3.631072804364102e-06
ISI4,13.0,صُنع المنسوجات,Manufacture of textiles,H,58079000.0,غيرها من رقاع وشارات,OTHER LABELS AND BADGES,747218.0,238237.0,-0.6811680125478776,2.7288726089784224e-07
ISI4,13.0,صُنع المنسوجات,Manufacture of textiles,H,55061000.0,الياف من نايلون او من بولياميدات اخر ، محضره للغزل,"NYLON OR OTHER POLYAMIDES FIBERS, FOR SPINNING",747050.0,387722.0,-0.4809959172746135,4.441140316988259e-07
ISI4,20.0,صُنع المواد الكيميائية والمنتجات الكيميائية,Manufacture of chemicals and chemical products,H,28459000.0,غيرها من النظائر,OTHER ISOTOPES,747033.0,673655.0,-0.09822591505328412,7.716344133788451e-07
ISI4,17.0,صُنع الورق ومنتجات الورق,Manufacture of paper and paper products,H,47061000.0,عجائن زغب بذر القطن,COTTON LINTERS PULP,746042.0,747885.0,0.0024703703008677794,8.56660758474052e-07
ISI4,20.0,صُنع المواد الكيميائية والمنتجات الكيميائية,Manufacture of chemicals and chemical products,H,36035000.0,أجهزة إشعال,Igniters,743955.0,187963.0,-0.7473462776646437,2.153011841995203e-07
